(1435248031083948990 exit  prim <=)
(1435248031083964394 enter prim -)
(1435248031083987553 exit  prim -)
(1435248031083990492 enter func fib)
(1435248031084005051 enter prim if)
(1435248031084012130 enter prim <=)
(1435248031084014655 exit  prim <=)
(1435248031084030000 enter prim -)
(1435248031084032612 exit  prim -)
(1435248031084034857 enter func fib)
(1435248031084049095 enter prim if)
(1435248031084056477 enter prim <=)
(1435248031084058825 exit  prim <=)
(1435248031084061718 exit  prim if)
(1435248031084063697 exit  func fib)
(1435248031084073477 enter prim -)
(1435248031084076153 exit  prim -)
(1435248031084087662 enter func fib)
(1435248031084101604 enter prim if)
(1435248031084108689 enter prim <=)
(1435248031084111067 exit  prim <=)
(1435248031084113913 exit  prim if)
(1435248031084115856 exit  func fib)
(1435248031084118037 enter prim +)
(1435248031084120484 exit  prim +)
(1435248031084122464 exit  prim if)
(1435248031084124526 exit  func fib)
(1435248031084134253 enter prim -)
(1435248031084136853 exit  prim -)
(1435248031084139105 enter func fib)
(1435248031084153050 enter prim if)
(1435248031084164828 enter prim <=)
(1435248031084171350 exit  prim <=)
(1435248031084174464 exit  prim if)
(1435248031084176522 exit  func fib)
(1435248031084178669 enter prim +)
(1435248031084181371 exit  prim +)
(1435248031084183364 exit  prim if)
(1435248031084185413 exit  func fib)
(1435248031084195440 enter prim -)
(1435248031084198026 exit  prim -)
(1435248031084202049 enter func fib)
(1435248031084216294 enter prim if)
(1435248031084223673 enter prim <=)
(1435248031084226013 exit  prim <=)
(1435248031084241030 enter prim -)
(1435248031084243707 exit  prim -)
(1435248031084245969 enter func fib)
(1435248031084259397 enter prim if)
(1435248031084266563 enter prim <=)
(1435248031084268942 exit  prim <=)
(1435248031084271796 exit  prim if)
(1435248031084273814 exit  func fib)
(1435248031084283192 enter prim -)
(1435248031084285758 exit  prim -)
(1435248031084288208 enter func fib)
(1435248031084301485 enter prim if)
(1435248031084308483 enter prim <=)
(1435248031084310795 exit  prim <=)
(1435248031084313600 exit  prim if)
(1435248031084315762 exit  func fib)
(1435248031084317883 enter prim +)
(1435248031084326287 exit  prim +)
(1435248031084328458 exit  prim if)
(1435248031084330476 exit  func fib)
(1435248031084332544 enter prim +)
(1435248031084334961 exit  prim +)
(1435248031084336968 exit  prim if)
(1435248031084338950 exit  func fib)
(1435248031084341105 enter prim +)
(1435248031084343643 exit  prim +)
(1435248031084345611 exit  prim if)
(1435248031084347684 exit  func fib)
(1435248031084361132 enter prim -)
(1435248031084363997 exit  prim -)
(1435248031084366336 enter func fib)
(1435248031084380859 enter prim if)
(1435248031084388226 enter prim <=)
(1435248031084390647 exit  prim <=)
(1435248031084405616 enter prim -)
(1435248031084408366 exit  prim -)
(1435248031084410619 enter func fib)
(1435248031084424014 enter prim if)
(1435248031084431226 enter prim <=)
(1435248031084433591 exit  prim <=)
(1435248031084452865 enter prim -)
(1435248031084455795 exit  prim -)
(1435248031084458110 enter func fib)
(1435248031084471777 enter prim if)
(1435248031084480004 enter prim <=)
(1435248031084484106 exit  prim <=)
(1435248031084512885 enter prim -)
(1435248031084516584 exit  prim -)
(1435248031084519150 enter func fib)
(1435248031084533549 enter prim if)
(1435248031084813688 enter prim <=)
(1435248031084820846 exit  prim <=)
(1435248031084838032 enter prim -)
(1435248031084840714 exit  prim -)
(1435248031084842991 enter func fib)
(1435248031084858117 enter prim if)
(1435248031084865684 enter prim <=)
(1435248031084867988 exit  prim <=)
(1435248031084870780 exit  prim if)
(1435248031084872775 exit  func fib)
(1435248031084881934 enter prim -)
(1435248031084884351 exit  prim -)
(1435248031084886583 enter func fib)
(1435248031084899427 enter prim if)
(1435248031084906071 enter prim <=)
(1435248031084908313 exit  prim <=)
(1435248031084910999 exit  prim if)
(1435248031084912974 exit  func fib)
(1435248031084915014 enter prim +)
(1435248031084917431 exit  prim +)
(1435248031084919297 exit  prim if)
(1435248031084921186 exit  func fib)
(1435248031084930002 enter prim -)
(1435248031084932557 exit  prim -)
(1435248031084934623 enter func fib)
(1435248031084947262 enter prim if)
(1435248031084953885 enter prim <=)
(1435248031084956098 exit  prim <=)
(1435248031084958816 exit  prim if)
(1435248031084960683 exit  func fib)
(1435248031084962750 enter prim +)
(1435248031084965061 exit  prim +)
(1435248031084967148 exit  prim if)
(1435248031084969086 exit  func fib)
(1435248031084981050 enter prim -)
(1435248031084983677 exit  prim -)
(1435248031084985765 enter func fib)
(1435248031084998316 enter prim if)
(1435248031085004950 enter prim <=)
(1435248031085007224 exit  prim <=)
(1435248031085021161 enter prim -)
(1435248031085023730 exit  prim -)
(1435248031085025824 enter func fib)
(1435248031085038314 enter prim if)
(1435248031085046671 enter prim <=)
(1435248031085049058 exit  prim <=)
(1435248031085051841 exit  prim if)
(1435248031085053725 exit  func fib)
(1435248031085062628 enter prim -)
(1435248031085065013 exit  prim -)
(1435248031085067063 enter func fib)
(1435248031085079529 enter prim if)
(1435248031085086207 enter prim <=)
(1435248031085088424 exit  prim <=)
(1435248031085091124 exit  prim if)
(1435248031085093007 exit  func fib)
(1435248031085094977 enter prim +)
(1435248031085097309 exit  prim +)
(1435248031085099174 exit  prim if)
(1435248031085101011 exit  func fib)
(1435248031085102965 enter prim +)
(1435248031085105339 exit  prim +)
(1435248031085107201 exit  prim if)
(1435248031085109049 exit  func fib)
(1435248031085117700 enter prim -)
(1435248031085120202 exit  prim -)
(1435248031085122239 enter func fib)
(1435248031085143662 enter prim if)
(1435248031085155490 enter prim <=)
(1435248031085157798 exit  prim <=)
(1435248031085171366 enter prim -)
(1435248031085173779 exit  prim -)
(1435248031085175825 enter func fib)
(1435248031085187861 enter prim if)
(1435248031085194368 enter prim <=)
(1435248031085196533 exit  prim <=)
(1435248031085209865 enter prim -)
(1435248031085220006 exit  prim -)
(1435248031085230510 enter func fib)
(1435248031085252949 enter prim if)
(1435248031085261171 enter prim <=)
(1435248031085274693 exit  prim <=)
(1435248031085278141 exit  prim if)
(1435248031085280109 exit  func fib)
(1435248031085291390 enter prim -)
(1435248031085293923 exit  prim -)
(1435248031085296171 enter func fib)
(1435248031085313109 enter prim if)
(1435248031085319883 enter prim <=)
(1435248031085322048 exit  prim <=)
(1435248031085324698 exit  prim if)
(1435248031085326516 exit  func fib)
(1435248031085328583 enter prim +)
(1435248031085330972 exit  prim +)
(1435248031085332812 exit  prim if)
(1435248031085334732 exit  func fib)
(1435248031085345897 enter prim -)
(1435248031085348362 exit  prim -)
(1435248031085350391 enter func fib)
(1435248031085362960 enter prim if)
(1435248031085374976 enter prim <=)
(1435248031085377299 exit  prim <=)
(1435248031085380007 exit  prim if)
(1435248031085381882 exit  func fib)
(1435248031085383852 enter prim +)
(1435248031085386174 exit  prim +)
(1435248031085388062 exit  prim if)
(1435248031085389949 exit  func fib)
(1435248031085392009 enter prim +)
(1435248031085394318 exit  prim +)
(1435248031085396115 exit  prim if)
(1435248031085397937 exit  func fib)
(1435248031085400050 enter prim +)
(1435248031085402270 exit  prim +)
(1435248031085404083 exit  prim if)
(1435248031085405944 exit  func fib)
(1435248031085414839 enter prim -)
(1435248031085417207 exit  prim -)
(1435248031085419247 enter func fib)
(1435248031085431895 enter prim if)
(1435248031085438363 enter prim <=)
(1435248031085440647 exit  prim <=)
(1435248031085457594 enter prim -)
(1435248031085460106 exit  prim -)
(1435248031085462153 enter func fib)
(1435248031085474545 enter prim if)
(1435248031085481394 enter prim <=)
(1435248031085485487 exit  prim <=)
(1435248031085503913 enter prim -)
(1435248031085506875 exit  prim -)
(1435248031085508981 enter func fib)
(1435248031085522043 enter prim if)
(1435248031085530945 enter prim <=)
(1435248031085533197 exit  prim <=)
(1435248031085548449 enter prim -)
(1435248031085550956 exit  prim -)
(1435248031085552995 enter func fib)
(1435248031085565608 enter prim if)
(1435248031085572043 enter prim <=)
(1435248031085574226 exit  prim <=)
(1435248031085591795 enter prim -)
(1435248031085594320 exit  prim -)
(1435248031085596436 enter func fib)
(1435248031085608836 enter prim if)
(1435248031085615411 enter prim <=)
(1435248031085617555 exit  prim <=)
(1435248031085631102 enter prim -)
(1435248031085633501 exit  prim -)
(1435248031085635474 enter func fib)
(1435248031085647776 enter prim if)
(1435248031085654261 enter prim <=)
(1435248031085656460 exit  prim <=)
(1435248031085659132 exit  prim if)
(1435248031085660897 exit  func fib)
(1435248031085669450 enter prim -)
